label,value
ABRD (214),ABRD
ACB (6),ACB
ACCT (29),ACCT
ACTS (15),ACTS
AERO (17),AERO
AFAM (48),AFAM
AINS (28),AINS
AMST (58),AMST
ANIM (4),ANIM
ANTH (112),ANTH
ARAB (19),ARAB
ARTE (2),ARTE
ARTH (108),ARTH
ARTS (36),ARTS
ASIA (40),ASIA
ASL (15),ASL
ASLE (2),ASLE
ASP (23),ASP
ASTR (21),ASTR
ATEP (17),ATEP
BBC (1),BBC
BIOC (12),BIOC
BIOL (68),BIOL
BIOS (3),BIOS
BKAT (13),BKAT
BME (52),BME
BMS (4),BMS
BUS (24),BUS
CBE (50),CBE
CBH (4),CBH
CCCC (2),CCCC
CCP (31),CCP
CDE (2),CDE
CEE (97),CEE
CERM (6),CERM
CHEM (35),CHEM
CHIN (20),CHIN
CINE (31),CINE
CL (17),CL
CLAS (7),CLAS
CLSA (34),CLSA
CLSG (9),CLSG
CLSL (13),CLSL
CNW (22),CNW
COMM (45),COMM
CRIM (12),CRIM
CS (39),CS
CSD (48),CSD
CSI (18),CSI
CW (28),CW
DANC (64),DANC
DPA (9),DPA
DRAW (4),DRAW
DSGN (9),DSGN
DST (1),DST
EALL (2),EALL
ECE (31),ECE
ECON (36),ECON
EDTL (124),EDTL
EES (42),EES
EHOP (1),EHOP
ENGL (89),ENGL
ENGR (33),ENGR
ENTR (25),ENTR
ENVS (8),ENVS
EPLS (40),EPLS
ESL (7),ESL
EVNT (4),EVNT
FIN (38),FIN
FPC (3),FPC
FREN (30),FREN
GENE (2),GENE
GEOG (38),GEOG
GHS (39),GHS
GRMN (21),GRMN
GWSS (46),GWSS
HHP (68),HHP
HIST (79),HIST
HONR (13),HONR
HPAS (29),HPAS
HRTS (1),HRTS
IBA (2),IBA
IE (24),IE
IGPI (16),IGPI
IIEP (21),IIEP
INTD (10),INTD
INTM (3),INTM
IS (26),IS
ITAL (13),ITAL
JMC (60),JMC
JPNS (16),JPNS
KORE (7),KORE
LAS (9),LAS
LATH (2),LATH
LAW (1),LAW
LING (23),LING
LLS (30),LLS
LS (11),LS
MATH (60),MATH
MBA (21),MBA
MDVL (3),MDVL
ME (31),ME
MED (1),MED
MGMT (34),MGMT
MILS (9),MILS
MKTG (29),MKTG
MPB (1),MPB
MSCI (36),MSCI
MTLS (6),MTLS
MUS (228),MUS
MUSM (9),MUSM
NSCI (2),NSCI
NURS (2),NURS
OEH (3),OEH
OSTC (1),OSTC
PHAR (1),PHAR
PHIL (32),PHIL
PHTO (7),PHTO
PHYS (36),PHYS
PNTG (6),PNTG
POLI (58),POLI
PORT (10),PORT
PRNT (8),PRNT
PSQF (51),PSQF
PSY (58),PSY
RCE (59),RCE
REA (18),REA
RELS (60),RELS
RHET (23),RHET
SCLP (6),SCLP
SIED (5),SIED
SJUS (3),SJUS
SLA (15),SLA
SLAV (12),SLAV
SOAS (3),SOAS
SOC (33),SOC
SPAN (46),SPAN
SPST (25),SPST
SRM (28),SRM
SSW (47),SSW
STAT (35),STAT
SWAH (4),SWAH
TAPE (3),TAPE
TDSN (9),TDSN
THTR (67),THTR
TR (21),TR
TRNS (15),TRNS
UICB (15),UICB
ULIB (2),ULIB
URES (5),URES
URP (3),URP
WLLC (5),WLLC
WRIT (17),WRIT
